RANGO ETARIO,NIVEL EDUCACIONAL,SEXO,ESTADO CIVIL,ACTIVIDAD,ESTADO ACTUAL,AÑO APERTURA TARJETA,CUPO MÁXIMO,PORCENTAJE DE USO DEL CUPO,VECES QUE COMPRA EN PROMEDIO AL AÑO,UNIDADES COMPRADAS DEL PRODUCTO A,UNIDADES COMPRADAS DEL PRODUCTO B,CANTIDAD HISTORICA DE ATRASOS EN PAGOS,COMPRA PRODUCTO EN PROMOCIÓN
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2011,"301,500",0.0%,6,6,4,23,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,,SIN DEUDA,2009,"301,500",0.4%,7,8,7,7,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"1,707,600",100.0%,7,1,5,1,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,7,5,13,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,7,10,5,5,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2013,"301,500",0.0%,6,2,10,23,NO
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,7,0,4,15,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 2 MESES,2005,"301,500",0.0%,5,5,0,23,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,CASADO, ,SIN DEUDA,2010,"301,500",0.0%,5,4,9,19,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2006,"301,500",21.4%,6,8,0,0,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,6,2,6,16,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"472,270",100.0%,6,10,3,16,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",43.0%,12,1,1,9,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,7,5,10,25,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,6,2,2,11,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2009,"301,500",0.0%,13,4,2,8,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,5,1,3,24,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2011,"301,500",0.0%,5,9,8,10,SI
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",31.6%,12,5,1,20,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2011,"301,500",0.0%,7,4,8,13,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"363,609",100.0%,9,5,6,17,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,VIUDO,DEPENDIENTE,DEUDA DE 1 MES,2013,"301,500",38.0%,7,5,3,24,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,DEUDA DE 2 MESES,2011,"364,405",100.0%,5,1,0,18,NO
MENOR QUE 30,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2005,"301,500",100.0%,5,1,2,0,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2008,"301,500",16.6%,5,1,5,1,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2013,"502,607",100.0%,11,7,9,2,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"301,500",15.9%,6,2,4,11,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.8%,6,8,8,13,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,EMPRESARIO,DEUDA DE 1 MES,2013,"301,500",0.6%,7,1,9,7,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,5,0,4,10,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2009,"617,177",100.0%,10,6,8,16,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",15.2%,9,0,0,19,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.1%,6,3,2,10,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2008,"301,500",0.0%,6,8,2,0,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,6,6,3,6,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2012,"301,500",86.5%,12,8,0,20,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 2 MESES,2014,"301,500",0.0%,7,5,4,4,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,5,0,7,5,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,,DEUDA DE 2 MESES,2008,"301,500",0.0%,6,3,6,4,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 2 MESES,2008,"301,500",15.5%,6,1,1,18,SI
MAYOR QUE 50,EDUC. MEDIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,5,0,2,10,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,5,3,8,18,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"579,543",100.0%,15,1,1,16,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,DEUDA DE 1 MES,2005,"4,699,939",100.0%,15,0,3,25,SI
MENOR QUE 30,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2006,"4,034,287",100.0%,9,3,8,11,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,5,8,7,11,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2006,"301,500",0.0%,11,9,10,20,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,CASADO, ,DEUDA DE 1 MES,2005,"301,500",0.0%,5,2,7,20,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,9,9,1,11,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,11,1,9,5,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2010,"2,013,857",100.0%,12,3,6,25,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2010,"301,500",100.0%,6,5,0,8,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,VIUDO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,5,6,2,6,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,5,1,9,9,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,CASADO,ESTUDIANTE,SIN DEUDA,2011,"1,149,620",100.0%,7,0,3,22,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2011,"301,500",0.0%,5,3,7,6,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,9,2,8,17,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2012,"301,500",0.0%,5,10,3,13,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.1%,6,0,5,17,NO
MENOR QUE 30,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,5,1,7,15,NO
MENOR QUE 30,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2013,"301,500",69.0%,7,8,6,5,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2013,"301,500",0.0%,5,8,3,2,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2013,"301,500",11.0%,7,0,5,2,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"1,120,627",100.0%,9,0,8,20,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,7,1,3,14,SI
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2012,"301,500",0.0%,5,0,9,6,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,12,10,8,10,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO, ,SIN DEUDA,2006,"301,500",0.0%,5,0,5,15,NO
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,6,1,8,22,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,ESTUDIANTE,DEUDA DE 1 MES,2006,"301,500",0.0%,6,7,10,14,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,6,2,1,9,NO
MENOR QUE 30,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",1.3%,8,4,0,0,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,9,9,1,6,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,8,6,1,8,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",100.0%,9,0,7,25,SI
MENOR QUE 30,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,,SIN DEUDA,2010,"301,500",8.5%,5,3,0,9,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2010,"301,500",60.7%,9,3,8,0,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 1 MES,2007,"301,500",0.0%,5,8,2,10,SI
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2007,"301,500",0.0%,7,9,8,6,NO
MENOR QUE 30,EDUC. TÉCNICA,FEMENINO,SOLTERO,EMPRESARIO,SIN DEUDA,2012,"301,500",28.5%,12,8,9,10,SI
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,CASADO, ,SIN DEUDA,2010,"301,500",0.0%,6,9,7,8,NO
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"849,862",100.0%,12,8,5,15,NO
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,CASADO, ,SIN DEUDA,2006,"301,500",0.0%,5,1,6,7,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,6,5,9,14,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 1 MES,2008,"301,500",0.1%,7,7,9,9,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2012,"301,500",0.0%,5,1,4,0,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,6,6,9,24,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,5,9,4,14,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",46.1%,7,4,0,25,NO
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2012,"301,500",0.0%,6,10,4,0,SI
MENOR QUE 30,EDUC. TÉCNICA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2006,"301,500",22.8%,11,7,7,12,SI
MENOR QUE 30,EDUC. TÉCNICA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2006,"301,500",0.0%,9,1,7,18,NO
MENOR QUE 30,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"491,578",100.0%,7,1,8,5,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2006,"375,591",100.0%,8,9,10,19,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,6,6,2,13,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,10,5,6,15,NO
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,6,7,3,11,SI
MENOR QUE 30,EDUC. TÉCNICA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2012,"301,500",0.0%,6,10,9,19,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2013,"301,500",8.8%,7,6,6,18,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2011,"301,500",23.4%,6,8,9,5,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"1,333,740",100.0%,13,3,10,10,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 1 MES,2014,"301,500",10.6%,12,5,8,8,SI
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,DEUDA DE 1 MES,2006,"560,434",100.0%,10,8,7,4,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,6,2,7,21,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"512,882",100.0%,9,2,9,1,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,CASADO,EMPRESARIO,DEUDA DE 2 MESES,2013,"301,500",100.0%,6,5,8,15,SI
MAYOR QUE 50,EDUC. MEDIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,5,3,7,14,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 2 MESES,2011,"301,500",0.0%,7,8,0,10,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",2.0%,8,9,3,22,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2005,"301,500",27.7%,7,10,8,1,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 2 MESES,2006,"301,500",42.1%,8,6,4,21,NO
ENTRE 40 Y 50,ESTUDIANTE UNIVERSITARIO,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2011,"301,500",25.5%,8,10,6,15,NO
MENOR QUE 30,EDUC. TÉCNICA,MASCULINO,SOLTERO,,SIN DEUDA,2014,"301,500",72.6%,7,3,5,21,SI
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,CASADO,EMPRESARIO,SIN DEUDA,2009,"301,500",0.0%,5,3,5,6,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,6,3,6,16,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,6,4,3,14,NO
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2013,"301,500",40.7%,16,0,5,12,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"1,096,471",100.0%,5,10,3,8,NO
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO, ,SIN DEUDA,2006,"301,500",32.6%,7,7,7,15,SI
MENOR QUE 30,EDUC. TÉCNICA,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2010,"301,500",92.2%,11,9,10,21,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",10.1%,6,4,4,0,SI
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,8,0,6,1,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 2 MESES,2014,"301,500",0.4%,5,1,4,20,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",38.4%,7,0,4,21,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,7,5,2,25,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,6,7,2,4,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,5,8,7,21,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2012,"429,378",100.0%,9,1,2,12,NO
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2007,"301,500",0.0%,7,6,5,1,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,EMPRESARIO,DEUDA DE 2 MESES,2014,"301,500",6.7%,7,5,3,11,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,EMPRESARIO,SIN DEUDA,2014,"301,500",0.0%,7,6,8,10,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"2,529,657",100.0%,7,1,9,12,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2011,"301,500",0.0%,9,3,7,15,NO
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,5,0,8,0,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,5,5,3,15,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2006,"755,758",100.0%,11,0,10,22,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2012,"412,561",100.0%,5,0,8,8,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"3,187,301",100.0%,9,2,7,19,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,5,8,1,9,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",90.2%,6,9,7,1,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,6,6,0,5,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2008,"301,500",0.0%,6,4,7,24,NO
ENTRE 40 Y 50,ESTUDIANTE UNIVERSITARIO,FEMENINO,CASADO, ,SIN DEUDA,2006,"301,500",0.0%,5,1,3,7,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2011,"301,500",0.0%,6,4,8,17,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2012,"524,067",100.0%,10,5,9,21,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 2 MESES,2010,"301,500",0.0%,5,3,2,25,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",19.2%,7,6,10,9,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,6,5,5,17,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"1,729,615",100.0%,7,7,10,11,NO
MENOR QUE 30,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,11,5,5,24,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,8,4,21,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,7,5,3,14,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,7,2,6,7,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"301,500",16.8%,6,6,6,18,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,5,0,3,9,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,5,10,0,21,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,VIUDO,DEPENDIENTE,SIN DEUDA,2014,"301,500",40.2%,8,1,1,19,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,6,1,8,14,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2012,"301,500",0.0%,5,8,2,7,SI
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2011,"956,183",100.0%,8,6,5,0,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",23.3%,7,6,3,10,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,6,9,7,9,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",59.6%,8,0,8,11,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,CASADO,EMPRESARIO,SIN DEUDA,2005,"301,500",70.3%,13,3,5,20,NO
